Minor Name,Category,Total Courses,Required,Elective,Unique Prefixes,Prefix List,Data Source,Validation Status
Biology Minor,STEM,9,3,6,2,"BIOL, CHEM",Extracted from markdown,Pending verification
Chemical Engineering Minor,STEM,18,6,12,3,"ECHE, ENCP, MATH",Extracted from markdown,Pending verification
Chemistry Minor,STEM,12,5,7,2,"CHEM, MATH",Extracted from markdown,Pending verification
Computer Science Minor,STEM,10,6,4,2,"CSCE, MATH",Extracted from markdown,Pending verification
Cybersecurity Operations Minor,STEM,7,7,0,2,"CSCE, ITEC",Extracted from markdown,Pending verification
Data Science Minor,STEM,40,9,31,4,"BIOL, CSCE, MATH, STAT",Extracted from markdown,Pending verification
Electrical Engineering Minor,STEM,5,5,0,1,ELCT,Extracted from markdown,Pending verification
Environmental and Sustainable Engineering Minor,STEM,17,2,15,6,"CHEM, ECHE, ECIV, ENVR, GEOG, GEOL",Extracted from markdown,Pending verification
Geological Sciences Minor,STEM,13,7,6,3,"CHEM, GEOL, PHYS",Extracted from markdown,Pending verification
Geophysics Minor,STEM,16,7,9,3,"GEOL, MATH, PHYS",Extracted from markdown,Pending verification
Informatics Minor,STEM,4,3,1,1,ISCI,Extracted from markdown,Pending verification
Integrated Information Technology Minor,STEM,17,2,15,1,ITEC,Extracted from markdown,Pending verification
Marine Science Minor,STEM,17,5,12,1,MSCI,Extracted from markdown,Pending verification
Mathematical Biology Minor,STEM,25,15,10,4,"BIOL, BMEN, MATH, MSCI",Extracted from markdown,Pending verification
Mathematics Minor,STEM,11,1,10,1,MATH,Extracted from markdown,Pending verification
Mechanical Engineering Minor,STEM,6,6,0,1,EMCH,Extracted from markdown,Pending verification
Nuclear Engineering Minor,STEM,11,4,7,4,"CHEM, EMCH, MATH, PHYS",Extracted from markdown,Pending verification
Physics Minor,STEM,5,4,1,1,PHYS,Extracted from markdown,Pending verification
Statistics Minor,STEM,29,0,29,1,STAT,Extracted from markdown,Pending verification
