                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.66076,                0.46361,                0.04463,                0.89236,                0.86796,                 0.8912,                0.36694,                0.60932,                0.43834,                0.05219,                 0.0001,                 0.0001,                 0.0001
                     62,                0.65134,                0.46125,                0.04512,                0.88001,                0.87671,                0.89272,                0.37169,                0.60592,                0.44221,                0.05181,                 0.0001,                 0.0001,                 0.0001
                     63,                0.64507,                0.45739,                0.04452,                0.87842,                0.87192,                 0.8917,                0.36336,                0.61336,                0.43825,                0.05204,                 0.0001,                 0.0001,                 0.0001
                     64,                0.67014,                0.46219,                 0.0465,                0.87643,                0.87208,                0.89154,                0.36731,                0.60809,                0.43767,                0.05132,                 0.0001,                 0.0001,                 0.0001
                     65,                0.65317,                0.45792,                0.04437,                0.87707,                 0.8773,                0.89367,                0.36836,                0.60607,                0.43594,                0.05144,                 0.0001,                 0.0001,                 0.0001
                     66,                0.66603,                0.45644,                0.04905,                0.88302,                 0.8728,                0.89018,                  0.369,                0.60528,                0.43734,                0.05145,                 0.0001,                 0.0001,                 0.0001
                     67,                0.63703,                0.45779,                0.04514,                0.88034,                0.88063,                0.89631,                0.37299,                0.60427,                0.44061,                0.05138,                 0.0001,                 0.0001,                 0.0001
                     68,                0.65941,                 0.4571,                0.04734,                0.87677,                 0.8816,                0.89318,                0.37313,                0.60692,                0.43898,                0.05138,                 0.0001,                 0.0001,                 0.0001
                     69,                0.64451,                0.45754,                 0.0437,                0.89184,                0.87943,                0.89598,                0.37149,                0.60501,                0.43496,                0.05122,                 0.0001,                 0.0001,                 0.0001
                     70,                0.64606,                0.45191,                0.04444,                0.89141,                 0.8816,                0.89641,                0.37443,                0.60379,                0.43618,                0.05114,                 0.0001,                 0.0001,                 0.0001
                     71,                0.64746,                0.45331,                 0.0455,                0.89383,                0.87378,                0.89515,                0.37384,                 0.6026,                 0.4342,                0.05114,                 0.0001,                 0.0001,                 0.0001
                     72,                0.63381,                0.44886,                0.04425,                0.88824,                0.87965,                0.89826,                0.37685,                0.60086,                0.43536,                0.05035,                 0.0001,                 0.0001,                 0.0001
                     73,                0.64979,                0.44945,                0.04535,                0.88997,                0.88643,                0.89965,                0.37829,                0.59801,                0.43429,                0.04975,                 0.0001,                 0.0001,                 0.0001
                     74,                 0.6487,                 0.4505,                0.04495,                 0.8918,                0.88389,                0.89948,                0.37909,                0.59765,                0.43308,                0.05049,                 0.0001,                 0.0001,                 0.0001
                     75,                 0.6215,                 0.4521,                 0.0429,                0.88413,                0.88599,                0.89839,                0.38019,                0.59545,                0.43064,                0.04998,                 0.0001,                 0.0001,                 0.0001
                     76,                0.63081,                0.45157,                0.04263,                0.88736,                0.88648,                0.90114,                0.37996,                0.59406,                0.43351,                0.04938,                 0.0001,                 0.0001,                 0.0001
                     77,                0.64293,                0.45055,                0.04519,                0.89527,                0.88381,                0.90358,                0.38208,                 0.5931,                 0.4324,                0.04916,                 0.0001,                 0.0001,                 0.0001
