x,y,c
342.47,751.4300000000001,1.4132066062355176e-07
342.47,791.21,4.710688687451739e-07
342.47,830.99,0.0
342.47,870.77,0.0
342.47,910.5500000000001,0.0
342.47,950.33,0.0
342.47,990.11,0.0
377.01,35.39,2.214023683102319e-06
377.01,75.17,3.4859096287142895e-06
377.01,114.95,3.956978497459464e-06
377.01,154.73000000000002,2.072703022478767e-06
377.01,194.51,9.421377374903486e-07
377.01,234.29000000000002,3.768550949961395e-07
377.01,274.07000000000005,0.0
377.01,313.85,1.413206606235524e-07
377.01,353.63,5.323078216820473e-06
377.01,393.40999999999997,6.594964162432435e-07
377.01,433.19000000000005,2.4495581174749045e-06
377.01,472.97,0.0
377.01,512.75,0.0
377.01,552.53,0.0
377.01,592.3100000000001,3.768550949961397e-06
377.01,632.09,4.710688687451746e-07
377.01,671.87,1.8842754749806984e-06
377.01,711.65,0.0
377.01,751.4300000000001,0.0
377.01,791.21,0.0
377.01,830.99,1.8842754749806987e-07
377.01,870.77,4.710688687451733e-08
377.01,910.5500000000001,0.0
377.01,950.33,0.0
377.01,990.11,0.0
411.54999999999995,35.39,6.594964162432429e-07
411.54999999999995,75.17,5.181757556196909e-07
411.54999999999995,114.95,1.4132066062355205e-07
411.54999999999995,154.73000000000002,1.4132066062355205e-07
411.54999999999995,194.51,2.3553443437258677e-07
411.54999999999995,234.29000000000002,2.826413212471041e-07
411.54999999999995,274.07000000000005,0.0
411.54999999999995,313.85,2.3553443437258696e-07
411.54999999999995,353.63,4.852009348075291e-06
411.54999999999995,393.40999999999997,4.239619818706559e-07
411.54999999999995,433.19000000000005,1.7900617012316581e-06
411.54999999999995,472.97,0.0
411.54999999999995,512.75,0.0
411.54999999999995,552.53,0.0
411.54999999999995,592.3100000000001,2.4024512306003865e-06
411.54999999999995,632.09,2.7321994387220085e-06
411.54999999999995,671.87,8.714774071785718e-06
411.54999999999995,711.65,6.12389529368726e-07
411.54999999999995,751.4300000000001,0.0
