time_s,x_simulink_m,theta_simulink_rad,x_multibody_m,theta_multibody_rad
1.02,-0.177964464284243,1.3558074447145,-0.177910907804383,1.35610514819364
1.03,-0.179503149352406,1.39548262598217,-0.179443719084784,1.39578799707171
1.04,-0.180756521205263,1.43606601771455,-0.180690904719784,1.43637928361463
1.05,-0.181701480011851,1.47757185532321,-0.181629325463927,1.47789325607402
1.06,-0.182319587126756,1.52001506850758,-0.182240808720648,1.52034485521008
1.07,-0.182523615950902,1.56341131255582,-0.182435604393441,1.56374974481739
1.08,-0.18244789920757,1.60777698283114,-0.182359567278859,1.60812432526593
1.09,-0.181897174999437,1.65312920748998,-0.181797933142778,1.65348572506859
1.1,-0.180918059870001,1.69948581246163,-0.180811215310057,1.69985176446379
1.11,-0.179478843692446,1.74686525150733,-0.17936417999808,1.74724088378622
1.12,-0.177551920569165,1.79528649275454,-0.177429289421773,1.79567202797322
1.13,-0.175110826416135,1.84476885146596,-0.174980114549613,1.84516447691912
1.14,-0.172129694198323,1.89533175697136,-0.171990831201995,1.89573760956504
1.15,-0.168583396186104,1.946994439721,-0.168436366227108,1.9474105876578
1.16,-0.164447842729757,1.99977552242473,-0.164292697929181,2.00020194314784
1.17,-0.15970037044772,2.05369249742335,-0.159537245999347,2.05412905142872
1.18,-0.154320212616472,2.10876107111758,-0.154149343819574,2.10920747137857
1.19,-0.148289056220329,2.16499435594204,-0.148110797420864,2.16545013294202
1.2,-0.141591691929352,2.22240189170667,-0.141406537101949,2.22286635448503
1.21,-0.134216761405274,2.28098848206248,-0.134025365753417,2.2814606762971
1.22,-0.126157601707395,2.34075283954192,-0.125960803188671,2.34123150455569
1.23,-0.117413178945263,2.40168604539086,-0.117212018032837,2.40216957309847
1.24,-0.107989092237556,2.46376984952501,-0.10778482752647,2.46425624969167
1.25,-0.0978986141987049,2.52697486226873,-0.0976927307202145,2.5274617399094
1.26,-0.0871637158450312,2.59125872292256,-0.0869579222926572,2.59174327497443
1.27,-0.0758160032147099,2.65656436872341,-0.0756122139178996,2.65704340786701
1.28,-0.0638974727314389,2.72281856686164,-0.0636977704114134,2.72328858000655
1.29,-0.0514609766136497,2.78993090423016,-0.0512675530191182,2.79038815114144
1.3,-0.0385702840166645,2.85779344403289,-0.0383853576894692,2.85823409743854
1.31,-0.0252996340773991,2.92628124374888,-0.0251253477520551,2.92670156606638
1.32,-0.0117327081824568,2.99525387607937,-0.0115710123371393,2.99565042037315
1.33,0.00203899859455991,3.06455800115811,0.00218646550560488,3.0649278166412
1.34,0.0159183578389555,3.1340309131851,0.0160503790111441,3.13437173061727
1.35,0.0298052165800603,3.20350484851744,0.0299210821330211,3.20381522024822
1.36,0.0435992472185236,3.27281172422242,0.0436988030289654,3.27309109845371
1.37,0.057202813051759,3.3417879051934,0.0572864659357834,3.34203662375127
