TIME,CH1,CH2,,Model,TBS1052C
-5.47E-01,2.98,0,,,
-5.46E-01,2.98,0,,,
-5.46E-01,2.98,0,,,
-5.45E-01,2.98,0,,,
-5.44E-01,2.98,0,,,
-5.43E-01,2.98,0,,,
-5.42E-01,2.98,0,,,
-5.42E-01,2.98,0,,,
-5.41E-01,2.98,0,,,
-5.40E-01,2.98,0,,,
-5.39E-01,2.98,0,,,
-5.38E-01,2.98,0,,,
-5.38E-01,3,0,,,
-5.37E-01,2.98,0,,,
-5.36E-01,2.98,0,,,
-5.35E-01,2.98,0,,,
-5.34E-01,2.98,0,,,
-5.34E-01,2.98,0,,,
-5.33E-01,2.98,0,,,
-5.32E-01,2.98,0,,,
-5.31E-01,2.98,0,,,
-5.30E-01,2.98,0,,,
-5.30E-01,2.98,0,,,
-5.29E-01,2.98,0,,,
-5.28E-01,2.98,0,,,
-5.27E-01,2.98,0,,,
-5.26E-01,2.98,0,,,
-5.26E-01,2.98,0,,,
-5.25E-01,2.98,0,,,
-5.24E-01,2.98,0,,,
-5.23E-01,2.98,0,,,
-5.22E-01,2.98,0,,,
-5.22E-01,2.98,0,,,
-5.21E-01,2.98,0,,,
-5.20E-01,2.98,0,,,
-5.19E-01,2.98,0,,,
-5.18E-01,2.98,0,,,
-5.18E-01,2.98,0,,,
-5.17E-01,3,0,,,
-5.16E-01,2.98,0,,,
-5.15E-01,2.98,0,,,
-5.14E-01,2.98,0,,,
-5.14E-01,2.98,0,,,
-5.13E-01,2.98,0,,,
-5.12E-01,2.98,0,,,
-5.11E-01,2.98,0,,,
-5.10E-01,2.98,0,,,
-5.10E-01,2.98,0,,,
-5.09E-01,2.98,0,,,
-5.08E-01,2.98,0,,,
-5.07E-01,2.98,0,,,
-5.06E-01,2.98,0,,,
-5.06E-01,2.98,0,,,
-5.05E-01,2.98,0,,,
-5.04E-01,2.98,0,,,
-5.03E-01,2.98,0,,,
-5.02E-01,2.98,0,,,
-5.02E-01,2.98,0,,,
-5.01E-01,2.98,0,,,
-5.00E-01,2.98,0,,,
-4.99E-01,2.98,0,,,
-4.98E-01,2.98,0,,,
-4.98E-01,2.98,0,,,
-4.97E-01,2.98,0,,,
-4.96E-01,2.98,0,,,
-4.95E-01,2.98,0,,,
-4.94E-01,2.98,0,,,
-4.94E-01,2.98,0,,,
-4.93E-01,2.98,0,,,
-4.92E-01,2.98,0,,,
-4.91E-01,2.98,0,,,
-4.90E-01,2.98,0,,,
-4.90E-01,2.98,0,,,
-4.89E-01,2.98,0,,,
-4.88E-01,2.98,0,,,
-4.87E-01,2.98,0,,,
-4.86E-01,2.98,0,,,
-4.86E-01,2.98,0,,,
-4.85E-01,2.98,0,,,
-4.84E-01,2.98,0,,,
-4.83E-01,2.98,0,,,
-4.82E-01,2.98,0,,,
-4.82E-01,2.98,0,,,
-4.81E-01,2.98,0,,,
-4.80E-01,2.98,0,,,
-4.79E-01,2.98,0,,,
-4.78E-01,2.98,0,,,
-4.78E-01,2.98,0,,,
-4.77E-01,2.98,0,,,
-4.76E-01,2.98,0,,,
-4.75E-01,2.98,0,,,
-4.74E-01,2.98,0,,,
-4.74E-01,2.98,0,,,
-4.73E-01,2.98,0,,,
-4.72E-01,2.98,0,,,
-4.71E-01,2.98,0,,,
-4.70E-01,2.98,0,,,
-4.70E-01,2.98,0,,,
-4.69E-01,2.98,0,,,
-4.68E-01,2.98,0,,,
-4.67E-01,2.98,0,,,
-4.66E-01,2.98,0,,,
-4.66E-01,2.98,0,,,
-4.65E-01,2.98,0,,,
-4.64E-01,2.98,0,,,
-4.63E-01,2.98,0,,,
-4.62E-01,2.98,0,,,
-4.62E-01,2.98,0,,,
-4.61E-01,2.98,0,,,
-4.60E-01,2.98,0,,,
-4.59E-01,2.98,0,,,
-4.58E-01,2.98,0,,,
-4.58E-01,2.98,0,,,
-4.57E-01,2.98,0,,,
-4.56E-01,3,0,,,
-4.55E-01,2.98,0,,,
-4.54E-01,2.98,0,,,
-4.54E-01,2.98,0,,,
-4.53E-01,2.98,0,,,
-4.52E-01,2.98,0,,,
-4.51E-01,2.98,0,,,
-4.50E-01,2.98,0,,,
-4.50E-01,3,0,,,
-4.49E-01,2.98,0,,,
-4.48E-01,2.98,0,,,
-4.47E-01,2.98,0,,,
-4.46E-01,2.98,0,,,
-4.46E-01,2.98,0,,,
-4.45E-01,2.98,0,,,
-4.44E-01,2.98,0,,,
-4.43E-01,2.98,0,,,
-4.42E-01,2.98,0,,,
-4.42E-01,2.98,0,,,
-4.41E-01,2.98,0,,,
-4.40E-01,2.98,0,,,
-4.39E-01,2.98,0,,,
-4.38E-01,2.98,0,,,
-4.38E-01,2.98,0,,,
-4.37E-01,2.98,0,,,
-4.36E-01,2.98,0,,,
-4.35E-01,2.98,0,,,
-4.34E-01,2.98,0,,,
-4.34E-01,2.98,0,,,
-4.33E-01,2.98,0,,,
-4.32E-01,2.98,0,,,
-4.31E-01,2.98,0,,,
-4.30E-01,2.98,0,,,
-4.30E-01,2.98,0,,,
-4.29E-01,2.98,0,,,
-4.28E-01,2.98,0,,,
-4.27E-01,2.98,0,,,
-4.26E-01,2.98,0,,,
-4.26E-01,2.98,0,,,
-4.25E-01,2.98,0,,,
-4.24E-01,2.98,0,,,
-4.23E-01,2.98,0,,,
-4.22E-01,2.98,0,,,
-4.22E-01,2.98,0,,,
-4.21E-01,2.98,0,,,
-4.20E-01,2.98,0,,,
-4.19E-01,2.98,0,,,
-4.18E-01,2.98,0,,,
-4.18E-01,2.98,0,,,
-4.17E-01,2.98,0,,,
-4.16E-01,2.98,0,,,
-4.15E-01,2.98,0,,,
-4.14E-01,2.98,0,,,
-4.14E-01,2.98,0,,,
-4.13E-01,2.98,0,,,
-4.12E-01,2.98,0,,,
-4.11E-01,2.98,0,,,
-4.10E-01,2.98,0,,,
-4.10E-01,2.98,0,,,
-4.09E-01,2.98,0,,,
-4.08E-01,2.98,0,,,
-4.07E-01,2.98,0,,,
-4.06E-01,2.98,0,,,
-4.06E-01,2.98,0,,,
-4.05E-01,2.98,0,,,
-4.04E-01,2.98,0,,,
-4.03E-01,2.98,0,,,
-4.02E-01,2.98,0,,,
-4.02E-01,2.98,0,,,
-4.01E-01,2.98,0,,,
-4.00E-01,2.98,0,,,
-3.99E-01,2.98,0,,,
-3.98E-01,2.98,0,,,
-3.98E-01,2.98,0,,,
-3.97E-01,2.98,0,,,
-3.96E-01,2.98,0,,,
-3.95E-01,2.98,0,,,
-3.94E-01,2.98,0,,,
-3.94E-01,2.98,0,,,
-3.93E-01,2.98,0,,,
-3.92E-01,2.98,0,,,
-3.91E-01,2.98,0,,,
-3.90E-01,2.98,0,,,
-3.90E-01,2.98,0,,,
-3.89E-01,2.98,0,,,
-3.88E-01,2.98,0,,,
-3.87E-01,2.98,0,,,
-3.86E-01,2.98,0,,,
-3.86E-01,2.98,0,,,
-3.85E-01,2.98,0,,,
-3.84E-01,2.98,0,,,
-3.83E-01,2.98,0,,,
-3.82E-01,2.98,0,,,
-3.82E-01,2.98,0,,,
-3.81E-01,2.98,0,,,
-3.80E-01,2.98,0,,,
-3.79E-01,2.98,0,,,
-3.78E-01,2.98,0,,,
-3.78E-01,2.98,0,,,
-3.77E-01,2.98,0,,,
-3.76E-01,2.98,0,,,
-3.75E-01,2.98,0,,,
-3.74E-01,2.98,0,,,
-3.74E-01,2.98,0,,,
-3.73E-01,2.98,0,,,
-3.72E-01,2.98,0,,,
-3.71E-01,2.98,0,,,
-3.70E-01,2.98,0,,,
-3.70E-01,3,0,,,
-3.69E-01,2.98,0,,,
-3.68E-01,2.98,0,,,
-3.67E-01,2.98,0,,,
-3.66E-01,2.98,0,,,
-3.66E-01,2.98,0,,,
-3.65E-01,2.98,0,,,
-3.64E-01,2.98,0,,,
-3.63E-01,2.98,0,,,
-3.62E-01,2.98,0,,,
-3.62E-01,2.98,0,,,
-3.61E-01,2.98,0,,,
-3.60E-01,2.98,0,,,
-3.59E-01,2.98,-0.08,,,
-3.58E-01,2.98,0,,,
-3.58E-01,2.98,0,,,
-3.57E-01,2.98,0,,,
-3.56E-01,2.98,0,,,
-3.55E-01,2.98,0,,,
-3.54E-01,2.98,0,,,
-3.54E-01,2.98,0,,,
-3.53E-01,2.98,0,,,
-3.52E-01,2.98,0,,,
-3.51E-01,2.98,0,,,
-3.50E-01,2.98,0,,,
-3.50E-01,2.98,0,,,
-3.49E-01,2.98,0,,,
-3.48E-01,2.98,0,,,
-3.47E-01,2.98,0,,,
-3.46E-01,2.98,0,,,
-3.46E-01,2.98,0,,,
-3.45E-01,2.98,0,,,
-3.44E-01,2.98,0,,,
-3.43E-01,2.98,0,,,
-3.42E-01,2.98,0,,,
-3.42E-01,2.98,0,,,
-3.41E-01,2.98,0,,,
-3.40E-01,2.98,0,,,
-3.39E-01,2.98,0,,,
-3.38E-01,2.98,0,,,
-3.38E-01,2.98,0,,,
-3.37E-01,2.98,0,,,
-3.36E-01,2.98,0,,,
-3.35E-01,2.98,0,,,
-3.34E-01,2.98,0,,,
-3.34E-01,2.98,0,,,
-3.33E-01,2.98,0,,,
-3.32E-01,2.98,0,,,
-3.31E-01,2.98,0,,,
-3.30E-01,2.98,0,,,
-3.30E-01,2.98,0,,,
-3.29E-01,2.98,0,,,
-3.28E-01,2.98,0,,,
-3.27E-01,2.98,0,,,
-3.26E-01,2.98,0,,,
-3.26E-01,2.98,0,,,
-3.25E-01,2.98,0,,,
-3.24E-01,2.98,0,,,
-3.23E-01,2.98,0,,,
-3.22E-01,2.98,0,,,
-3.22E-01,2.98,0,,,
