path,filename,datetime,date,time,hour,day_of_week,day_name,month,year
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100242_997_40_1.png,20250814_100242_997_40_1.png,2025-08-14 10:02:42,2025-08-14,10:02:42,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100244_221_50_1.png,20250814_100244_221_50_1.png,2025-08-14 10:02:44,2025-08-14,10:02:44,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100245_447_75_1.png,20250814_100245_447_75_1.png,2025-08-14 10:02:45,2025-08-14,10:02:45,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100246_674_40_1.png,20250814_100246_674_40_1.png,2025-08-14 10:02:46,2025-08-14,10:02:46,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100247_892_50_1.png,20250814_100247_892_50_1.png,2025-08-14 10:02:47,2025-08-14,10:02:47,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100249_116_75_1.png,20250814_100249_116_75_1.png,2025-08-14 10:02:49,2025-08-14,10:02:49,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100250_345_40_1.png,20250814_100250_345_40_1.png,2025-08-14 10:02:50,2025-08-14,10:02:50,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100251_567_50_1.png,20250814_100251_567_50_1.png,2025-08-14 10:02:51,2025-08-14,10:02:51,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100252_788_75_1.png,20250814_100252_788_75_1.png,2025-08-14 10:02:52,2025-08-14,10:02:52,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100254_016_40_1.png,20250814_100254_016_40_1.png,2025-08-14 10:02:54,2025-08-14,10:02:54,10,3,Thursday,8,2025
